fixture_id,date,season,venue,home_team_id,away_team_id,home_goals,away_goals
867946,2022-08-05T19:00:00+00:00,2022,Selhurst Park,8,1,0,2
867947,2022-08-06T11:30:00+00:00,2022,Craven Cottage,10,14,2,2
867951,2022-08-06T14:00:00+00:00,2022,St. James' Park,18,19,2,0
867948,2022-08-06T14:00:00+00:00,2022,Vitality Stadium,3,2,2,0
867952,2022-08-06T14:00:00+00:00,2022,Tottenham Hotspur Stadium,22,21,4,1
867949,2022-08-06T14:00:00+00:00,2022,Elland Road,12,24,2,1
867953,2022-08-06T16:30:00+00:00,2022,Goodison Park,9,7,0,1
867954,2022-08-07T13:00:00+00:00,2022,Old Trafford,17,5,1,2
867950,2022-08-07T13:00:00+00:00,2022,King Power Stadium,13,4,2,2
867955,2022-08-07T15:30:00+00:00,2022,London Stadium,23,16,0,2
867957,2022-08-13T11:30:00+00:00,2022,Villa Park,2,9,2,1
867965,2022-08-13T14:00:00+00:00,2022,Molineux Stadium,24,10,0,0
867964,2022-08-13T14:00:00+00:00,2022,St. Mary's Stadium,21,12,2,2
867956,2022-08-13T14:00:00+00:00,2022,Emirates Stadium,1,13,4,2
867962,2022-08-13T14:00:00+00:00,2022,Etihad Stadium,16,3,4,0
867959,2022-08-13T14:00:00+00:00,2022,The American Express Community Stadium,5,18,0,0
867958,2022-08-13T16:30:00+00:00,2022,Gtech Community Stadium,4,17,4,0
867963,2022-08-14T13:00:00+00:00,2022,The City Ground,19,23,1,0
867960,2022-08-14T15:30:00+00:00,2022,Stamford Bridge,7,22,2,2
867961,2022-08-15T19:00:00+00:00,2022,Anfield,14,8,1,1
867974,2022-08-20T11:30:00+00:00,2022,Tottenham Hotspur Stadium,22,24,1,0
867969,2022-08-20T14:00:00+00:00,2022,Craven Cottage,10,4,3,2
867968,2022-08-20T14:00:00+00:00,2022,Goodison Park,9,19,1,1
867971,2022-08-20T14:00:00+00:00,2022,King Power Stadium,13,21,1,2
867967,2022-08-20T14:00:00+00:00,2022,Selhurst Park,8,2,3,1
867966,2022-08-20T16:30:00+00:00,2022,Vitality Stadium,3,1,0,3
867975,2022-08-21T13:00:00+00:00,2022,London Stadium,23,5,0,2
867970,2022-08-21T13:00:00+00:00,2022,Elland Road,12,7,3,0
867973,2022-08-21T15:30:00+00:00,2022,St. James' Park,18,16,3,3
867972,2022-08-22T19:00:00+00:00,2022,Old Trafford,17,14,2,1
867984,2022-08-27T11:30:00+00:00,2022,St. Mary's Stadium,21,17,0,1
867981,2022-08-27T14:00:00+00:00,2022,Anfield,14,3,9,0
867980,2022-08-27T14:00:00+00:00,2022,Stamford Bridge,7,13,2,1
867982,2022-08-27T14:00:00+00:00,2022,Etihad Stadium,16,8,4,2
867979,2022-08-27T14:00:00+00:00,2022,The American Express Community Stadium,5,12,1,0
867978,2022-08-27T14:00:00+00:00,2022,Gtech Community Stadium,4,9,1,1
867976,2022-08-27T16:30:00+00:00,2022,Emirates Stadium,1,10,2,1
867985,2022-08-28T13:00:00+00:00,2022,Molineux Stadium,24,18,1,1
867977,2022-08-28T13:00:00+00:00,2022,Villa Park,2,23,0,1
867983,2022-08-28T15:30:00+00:00,2022,The City Ground,19,22,0,2
867988,2022-08-30T18:30:00+00:00,2022,Craven Cottage,10,5,2,1
867992,2022-08-30T18:30:00+00:00,2022,Selhurst Park,8,4,1,1
867993,2022-08-30T18:45:00+00:00,2022,St. Mary's Stadium,21,7,2,1
867989,2022-08-30T19:00:00+00:00,2022,Elland Road,12,9,1,1
867986,2022-08-31T18:30:00+00:00,2022,Vitality Stadium,3,24,0,0
867987,2022-08-31T18:30:00+00:00,2022,Emirates Stadium,1,2,2,1
867995,2022-08-31T18:30:00+00:00,2022,Etihad Stadium,16,19,6,0
867991,2022-08-31T18:45:00+00:00,2022,London Stadium,23,22,1,1
867994,2022-08-31T19:00:00+00:00,2022,Anfield,14,18,2,1
867990,2022-09-01T19:00:00+00:00,2022,King Power Stadium,13,17,0,1
868000,2022-09-03T11:30:00+00:00,2022,Goodison Park,9,14,0,0
868002,2022-09-03T14:00:00+00:00,2022,St. James' Park,18,8,0,0
868005,2022-09-03T14:00:00+00:00,2022,Molineux Stadium,24,21,1,0
868004,2022-09-03T14:00:00+00:00,2022,Tottenham Hotspur Stadium,22,10,2,1
867999,2022-09-03T14:00:00+00:00,2022,Stamford Bridge,7,23,2,1
867997,2022-09-03T14:00:00+00:00,2022,Gtech Community Stadium,4,12,5,2
868003,2022-09-03T14:00:00+00:00,2022,The City Ground,19,3,2,3
867996,2022-09-03T16:30:00+00:00,2022,Villa Park,2,16,1,1
867998,2022-09-04T13:00:00+00:00,2022,The American Express Community Stadium,5,13,5,2
868001,2022-09-04T15:30:00+00:00,2022,Old Trafford,17,1,3,1
868023,2022-09-16T19:00:00+00:00,2022,The City Ground,19,10,2,3
868016,2022-09-16T19:00:00+00:00,2022,Villa Park,2,21,1,0
868025,2022-09-17T11:30:00+00:00,2022,Molineux Stadium,24,16,0,3
868022,2022-09-17T14:00:00+00:00,2022,St. James' Park,18,3,1,1
868024,2022-09-17T16:30:00+00:00,2022,Tottenham Hotspur Stadium,22,13,6,2
868017,2022-09-18T11:00:00+00:00,2022,Gtech Community Stadium,4,1,0,3
868020,2022-09-18T13:15:00+00:00,2022,Goodison Park,9,23,1,0
868027,2022-10-01T11:30:00+00:00,2022,Emirates Stadium,1,22,3,1
868026,2022-10-01T14:00:00+00:00,2022,Vitality Stadium,3,4,0,0
868029,2022-10-01T14:00:00+00:00,2022,Craven Cottage,10,18,1,4
868032,2022-10-01T14:00:00+00:00,2022,Anfield,14,5,3,3
868034,2022-10-01T14:00:00+00:00,2022,St. Mary's Stadium,21,9,1,2
868028,2022-10-01T14:00:00+00:00,2022,Selhurst Park,8,7,1,2
868035,2022-10-01T16:30:00+00:00,2022,London Stadium,23,24,2,0
868033,2022-10-02T13:00:00+00:00,2022,Etihad Stadium,16,17,6,3
868030,2022-10-02T15:30:00+00:00,2022,Elland Road,12,2,0,0
868031,2022-10-03T19:00:00+00:00,2022,King Power Stadium,13,19,4,0
868043,2022-10-08T14:00:00+00:00,2022,St. James' Park,18,4,5,1
868036,2022-10-08T14:00:00+00:00,2022,Vitality Stadium,3,13,2,1
868039,2022-10-08T14:00:00+00:00,2022,Stamford Bridge,7,24,3,0
868042,2022-10-08T14:00:00+00:00,2022,Etihad Stadium,16,21,4,0
868038,2022-10-08T16:30:00+00:00,2022,The American Express Community Stadium,5,22,0,1
868045,2022-10-09T13:00:00+00:00,2022,London Stadium,23,10,3,1
868040,2022-10-09T13:00:00+00:00,2022,Selhurst Park,8,12,2,1
868037,2022-10-09T15:30:00+00:00,2022,Emirates Stadium,1,14,3,2
868041,2022-10-09T18:00:00+00:00,2022,Goodison Park,9,17,1,2
868044,2022-10-10T19:00:00+00:00,2022,The City Ground,19,2,1,1
868047,2022-10-14T19:00:00+00:00,2022,Gtech Community Stadium,4,5,2,0
868050,2022-10-15T11:30:00+00:00,2022,King Power Stadium,13,8,0,0
868048,2022-10-15T14:00:00+00:00,2022,Craven Cottage,10,3,2,2
868055,2022-10-15T14:00:00+00:00,2022,Molineux Stadium,24,19,1,0
868054,2022-10-15T16:30:00+00:00,2022,Tottenham Hotspur Stadium,22,9,2,0
868052,2022-10-16T13:00:00+00:00,2022,Old Trafford,17,18,0,0
868053,2022-10-16T13:00:00+00:00,2022,St. Mary's Stadium,21,23,1,1
868049,2022-10-16T13:00:00+00:00,2022,Elland Road,12,1,0,1
868046,2022-10-16T13:00:00+00:00,2022,Villa Park,2,7,0,2
868051,2022-10-16T15:30:00+00:00,2022,Anfield,14,16,1,0
868059,2022-10-18T18:30:00+00:00,2022,The American Express Community Stadium,5,19,0,0
868062,2022-10-18T19:15:00+00:00,2022,Selhurst Park,8,24,2,1
868063,2022-10-19T18:30:00+00:00,2022,St. James' Park,18,9,1,0
868056,2022-10-19T18:30:00+00:00,2022,Vitality Stadium,3,21,0,1
868064,2022-10-19T18:30:00+00:00,2022,Anfield,14,23,1,0
868058,2022-10-19T18:30:00+00:00,2022,Gtech Community Stadium,4,7,0,0
868065,2022-10-19T19:15:00+00:00,2022,Old Trafford,17,22,2,0
868060,2022-10-20T18:30:00+00:00,2022,Craven Cottage,10,2,3,0
868061,2022-10-20T19:15:00+00:00,2022,King Power Stadium,13,12,2,0
868071,2022-10-22T11:30:00+00:00,2022,The City Ground,19,14,1,0
868068,2022-10-22T14:00:00+00:00,2022,Goodison Park,9,8,3,0
868070,2022-10-22T14:00:00+00:00,2022,Etihad Stadium,16,5,3,1
868067,2022-10-22T16:30:00+00:00,2022,Stamford Bridge,7,17,1,1
868075,2022-10-23T13:00:00+00:00,2022,Molineux Stadium,24,13,0,4
868072,2022-10-23T13:00:00+00:00,2022,St. Mary's Stadium,21,1,1,1
868069,2022-10-23T13:00:00+00:00,2022,Elland Road,12,10,2,3
868066,2022-10-23T13:00:00+00:00,2022,Villa Park,2,4,4,0
868073,2022-10-23T15:30:00+00:00,2022,Tottenham Hotspur Stadium,22,18,1,2
868074,2022-10-24T19:00:00+00:00,2022,London Stadium,23,3,2,0
868082,2022-10-29T11:30:00+00:00,2022,King Power Stadium,13,16,0,1
868085,2022-10-29T14:00:00+00:00,2022,St. James' Park,18,2,4,0
868076,2022-10-29T14:00:00+00:00,2022,Vitality Stadium,3,22,2,3
868079,2022-10-29T14:00:00+00:00,2022,The American Express Community Stadium,5,7,4,1
868080,2022-10-29T14:00:00+00:00,2022,Selhurst Park,8,21,1,0
868078,2022-10-29T14:00:00+00:00,2022,Gtech Community Stadium,4,24,1,1
868081,2022-10-29T16:30:00+00:00,2022,Craven Cottage,10,9,0,0
868083,2022-10-29T18:45:00+00:00,2022,Anfield,14,12,1,2
868077,2022-10-30T14:00:00+00:00,2022,Emirates Stadium,1,19,5,0
868084,2022-10-30T16:15:00+00:00,2022,Old Trafford,17,23,1,0
868095,2022-11-05T15:00:00+00:00,2022,Molineux Stadium,24,5,2,3
868090,2022-11-05T15:00:00+00:00,2022,Etihad Stadium,16,10,2,1
868089,2022-11-05T15:00:00+00:00,2022,Elland Road,12,3,4,3
868091,2022-11-05T15:00:00+00:00,2022,The City Ground,19,4,2,2
868088,2022-11-05T17:30:00+00:00,2022,Goodison Park,9,13,0,2
868087,2022-11-06T12:00:00+00:00,2022,Stamford Bridge,7,1,0,1
868092,2022-11-06T14:00:00+00:00,2022,St. Mary's Stadium,21,18,1,4
868094,2022-11-06T14:00:00+00:00,2022,London Stadium,23,8,1,2
868086,2022-11-06T14:00:00+00:00,2022,Villa Park,2,17,3,1
868093,2022-11-06T16:30:00+00:00,2022,Tottenham Hotspur Stadium,22,14,1,2
868100,2022-11-12T12:30:00+00:00,2022,Etihad Stadium,16,4,1,2
868096,2022-11-12T15:00:00+00:00,2022,Vitality Stadium,3,9,3,0
868099,2022-11-12T15:00:00+00:00,2022,Anfield,14,21,3,1
868103,2022-11-12T15:00:00+00:00,2022,Tottenham Hotspur Stadium,22,12,4,3
868104,2022-11-12T15:00:00+00:00,2022,London Stadium,23,13,0,2
868102,2022-11-12T15:00:00+00:00,2022,The City Ground,19,8,1,0
868101,2022-11-12T17:30:00+00:00,2022,St. James' Park,18,7,1,0
868105,2022-11-12T19:45:00+00:00,2022,Molineux Stadium,24,1,0,2
868097,2022-11-13T14:00:00+00:00,2022,The American Express Community Stadium,5,2,1,2
868098,2022-11-13T16:30:00+00:00,2022,Craven Cottage,10,17,1,2
868108,2022-12-26T12:30:00+00:00,2022,Gtech Community Stadium,4,22,2,2
868115,2022-12-26T15:00:00+00:00,2022,St. Mary's Stadium,21,5,1,3
868111,2022-12-26T15:00:00+00:00,2022,Goodison Park,9,24,1,2
868113,2022-12-26T15:00:00+00:00,2022,King Power Stadium,13,18,0,3
868110,2022-12-26T15:00:00+00:00,2022,Selhurst Park,8,10,0,3
868107,2022-12-26T17:30:00+00:00,2022,Villa Park,2,14,1,3
868106,2022-12-26T20:00:00+00:00,2022,Emirates Stadium,1,23,3,1
868109,2022-12-27T17:30:00+00:00,2022,Stamford Bridge,7,3,2,0
868114,2022-12-27T20:00:00+00:00,2022,Old Trafford,17,19,3,0
868112,2022-12-28T20:00:00+00:00,2022,Elland Road,12,16,1,3
868124,2022-12-30T19:45:00+00:00,2022,London Stadium,23,4,0,2
868119,2022-12-30T20:00:00+00:00,2022,Anfield,14,13,2,1
868125,2022-12-31T12:30:00+00:00,2022,Molineux Stadium,24,17,0,1
868121,2022-12-31T15:00:00+00:00,2022,St. James' Park,18,12,0,0
868116,2022-12-31T15:00:00+00:00,2022,Vitality Stadium,3,8,0,2
868118,2022-12-31T15:00:00+00:00,2022,Craven Cottage,10,21,2,1
868120,2022-12-31T15:00:00+00:00,2022,Etihad Stadium,16,9,1,1
868117,2022-12-31T17:30:00+00:00,2022,The American Express Community Stadium,5,1,2,4
868123,2023-01-01T14:00:00+00:00,2022,Tottenham Hotspur Stadium,22,2,0,2
868122,2023-01-01T16:30:00+00:00,2022,The City Ground,19,7,1,1
868128,2023-01-02T17:30:00+00:00,2022,Gtech Community Stadium,4,14,3,1
868126,2023-01-03T19:45:00+00:00,2022,Emirates Stadium,1,18,0,0
868131,2023-01-03T19:45:00+00:00,2022,Goodison Park,9,5,1,4
868133,2023-01-03T19:45:00+00:00,2022,King Power Stadium,13,10,0,1
868134,2023-01-03T20:00:00+00:00,2022,Old Trafford,17,3,3,0
868135,2023-01-04T19:30:00+00:00,2022,St. Mary's Stadium,21,19,0,1
868132,2023-01-04T19:45:00+00:00,2022,Elland Road,12,23,2,2
868130,2023-01-04T20:00:00+00:00,2022,Selhurst Park,8,22,0,4
868127,2023-01-04T20:00:00+00:00,2022,Villa Park,2,24,1,1
868129,2023-01-05T20:00:00+00:00,2022,Stamford Bridge,7,16,0,1
868009,2023-01-12T20:00:00+00:00,2022,Craven Cottage,10,7,2,1
868136,2023-01-13T20:00:00+00:00,2022,Villa Park,2,12,2,1
868141,2023-01-14T12:30:00+00:00,2022,Old Trafford,17,16,2,1
868145,2023-01-14T15:00:00+00:00,2022,Molineux Stadium,24,23,1,0
868140,2023-01-14T15:00:00+00:00,2022,Goodison Park,9,21,1,2
868138,2023-01-14T15:00:00+00:00,2022,The American Express Community Stadium,5,14,3,0
868143,2023-01-14T15:00:00+00:00,2022,The City Ground,19,13,2,0
868137,2023-01-14T17:30:00+00:00,2022,Gtech Community Stadium,4,3,2,0
868142,2023-01-15T14:00:00+00:00,2022,St. James' Park,18,10,1,0
868139,2023-01-15T14:00:00+00:00,2022,Stamford Bridge,7,8,1,0
868144,2023-01-15T16:30:00+00:00,2022,Tottenham Hotspur Stadium,22,1,0,2
868008,2023-01-18T20:00:00+00:00,2022,Selhurst Park,8,17,1,1
868013,2023-01-19T20:00:00+00:00,2022,Etihad Stadium,16,22,4,2
868152,2023-01-21T12:30:00+00:00,2022,Anfield,14,7,0,0
868146,2023-01-21T15:00:00+00:00,2022,Vitality Stadium,3,19,1,1
868154,2023-01-21T15:00:00+00:00,2022,St. Mary's Stadium,21,2,0,1
868151,2023-01-21T15:00:00+00:00,2022,King Power Stadium,13,5,2,2
868155,2023-01-21T15:00:00+00:00,2022,London Stadium,23,9,2,0
868148,2023-01-21T17:30:00+00:00,2022,Selhurst Park,8,18,0,0
868153,2023-01-22T14:00:00+00:00,2022,Etihad Stadium,16,24,3,0
868150,2023-01-22T14:00:00+00:00,2022,Elland Road,12,4,0,0
868147,2023-01-22T16:30:00+00:00,2022,Emirates Stadium,1,17,3,2
868149,2023-01-23T20:00:00+00:00,2022,Craven Cottage,10,22,0,1
868159,2023-02-03T20:00:00+00:00,2022,Stamford Bridge,7,10,0,0
868160,2023-02-04T12:30:00+00:00,2022,Goodison Park,9,1,1,0
868161,2023-02-04T15:00:00+00:00,2022,Old Trafford,17,8,2,1
868165,2023-02-04T15:00:00+00:00,2022,Molineux Stadium,24,14,3,0
868158,2023-02-04T15:00:00+00:00,2022,The American Express Community Stadium,5,3,1,0
868157,2023-02-04T15:00:00+00:00,2022,Gtech Community Stadium,4,21,3,0
868156,2023-02-04T15:00:00+00:00,2022,Villa Park,2,13,2,4
868162,2023-02-04T17:30:00+00:00,2022,St. James' Park,18,23,1,1
868163,2023-02-05T14:00:00+00:00,2022,The City Ground,19,12,1,0
868164,2023-02-05T16:30:00+00:00,2022,Tottenham Hotspur Stadium,22,16,1,0
868021,2023-02-08T20:00:00+00:00,2022,Old Trafford,17,12,2,2
868175,2023-02-11T12:30:00+00:00,2022,London Stadium,23,7,1,1
868169,2023-02-11T15:00:00+00:00,2022,Craven Cottage,10,19,2,0
868174,2023-02-11T15:00:00+00:00,2022,St. Mary's Stadium,21,24,1,2
868167,2023-02-11T15:00:00+00:00,2022,Emirates Stadium,1,4,1,1
868171,2023-02-11T15:00:00+00:00,2022,King Power Stadium,13,22,4,1
868168,2023-02-11T15:00:00+00:00,2022,Selhurst Park,8,5,1,1
868166,2023-02-11T17:30:00+00:00,2022,Vitality Stadium,3,18,1,1
868170,2023-02-12T14:00:00+00:00,2022,Elland Road,12,17,0,2
868173,2023-02-12T16:30:00+00:00,2022,Etihad Stadium,16,2,3,1
868172,2023-02-13T20:00:00+00:00,2022,Anfield,14,9,2,0
868057,2023-02-15T19:30:00+00:00,2022,Emirates Stadium,1,16,1,3
868176,2023-02-18T12:30:00+00:00,2022,Villa Park,2,1,2,4
868185,2023-02-18T15:00:00+00:00,2022,Molineux Stadium,24,3,0,1
868180,2023-02-18T15:00:00+00:00,2022,Goodison Park,9,12,1,0
868179,2023-02-18T15:00:00+00:00,2022,Stamford Bridge,7,21,0,1
868178,2023-02-18T15:00:00+00:00,2022,The American Express Community Stadium,5,10,0,1
868177,2023-02-18T15:00:00+00:00,2022,Gtech Community Stadium,4,8,1,1
868183,2023-02-18T15:00:00+00:00,2022,The City Ground,19,16,1,1
868182,2023-02-18T17:30:00+00:00,2022,St. James' Park,18,14,0,2
868181,2023-02-19T14:00:00+00:00,2022,Old Trafford,17,13,3,0
868184,2023-02-19T16:30:00+00:00,2022,Tottenham Hotspur Stadium,22,23,2,0
868189,2023-02-24T20:00:00+00:00,2022,Craven Cottage,10,24,1,1
868188,2023-02-25T15:00:00+00:00,2022,Goodison Park,9,2,0,2
868191,2023-02-25T15:00:00+00:00,2022,King Power Stadium,13,1,0,1
868195,2023-02-25T15:00:00+00:00,2022,London Stadium,23,19,4,0
868190,2023-02-25T15:00:00+00:00,2022,Elland Road,12,21,1,0
868186,2023-02-25T17:30:00+00:00,2022,Vitality Stadium,3,16,1,4
868187,2023-02-25T19:45:00+00:00,2022,Selhurst Park,8,14,0,0
868194,2023-02-26T13:30:00+00:00,2022,Tottenham Hotspur Stadium,22,7,2,0
868007,2023-03-01T19:45:00+00:00,2022,Emirates Stadium,1,9,4,0
868012,2023-03-01T20:00:00+00:00,2022,Anfield,14,24,2,0
868202,2023-03-04T12:30:00+00:00,2022,Etihad Stadium,16,18,2,0
868205,2023-03-04T15:00:00+00:00,2022,Molineux Stadium,24,22,1,0
868196,2023-03-04T15:00:00+00:00,2022,Emirates Stadium,1,3,3,2
868200,2023-03-04T15:00:00+00:00,2022,Stamford Bridge,7,12,1,0
868199,2023-03-04T15:00:00+00:00,2022,The American Express Community Stadium,5,23,4,0
868197,2023-03-04T15:00:00+00:00,2022,Villa Park,2,8,1,0
868204,2023-03-04T17:30:00+00:00,2022,St. Mary's Stadium,21,13,1,0
868203,2023-03-05T14:00:00+00:00,2022,The City Ground,19,9,2,2
868201,2023-03-05T16:30:00+00:00,2022,Anfield,14,17,7,0
868198,2023-03-06T20:00:00+00:00,2022,Gtech Community Stadium,4,10,3,2
868206,2023-03-11T12:30:00+00:00,2022,Vitality Stadium,3,14,1,0
868208,2023-03-11T15:00:00+00:00,2022,Goodison Park,9,4,1,0
868211,2023-03-11T15:00:00+00:00,2022,King Power Stadium,13,7,1,3
868214,2023-03-11T15:00:00+00:00,2022,Tottenham Hotspur Stadium,22,19,3,1
868210,2023-03-11T15:00:00+00:00,2022,Elland Road,12,5,2,2
868207,2023-03-11T17:30:00+00:00,2022,Selhurst Park,8,16,0,1
868212,2023-03-12T14:00:00+00:00,2022,Old Trafford,17,21,0,0
868209,2023-03-12T14:00:00+00:00,2022,Craven Cottage,10,1,0,3
868215,2023-03-12T14:00:00+00:00,2022,London Stadium,23,2,1,1
868213,2023-03-12T16:30:00+00:00,2022,St. James' Park,18,24,2,1
868014,2023-03-15T19:30:00+00:00,2022,St. Mary's Stadium,21,4,0,2
868018,2023-03-15T19:30:00+00:00,2022,The American Express Community Stadium,5,8,1,0
868223,2023-03-17T20:00:00+00:00,2022,The City Ground,19,18,1,2
868225,2023-03-18T15:00:00+00:00,2022,Molineux Stadium,24,12,2,4
868224,2023-03-18T15:00:00+00:00,2022,St. Mary's Stadium,21,22,3,3
868218,2023-03-18T15:00:00+00:00,2022,Gtech Community Stadium,4,13,1,1
868217,2023-03-18T15:00:00+00:00,2022,Villa Park,2,3,3,0
868220,2023-03-18T17:30:00+00:00,2022,Stamford Bridge,7,9,2,2
868216,2023-03-19T14:00:00+00:00,2022,Emirates Stadium,1,8,4,1
868232,2023-04-01T11:30:00+00:00,2022,Etihad Stadium,16,14,4,1
868226,2023-04-01T14:00:00+00:00,2022,Vitality Stadium,3,10,2,1
868227,2023-04-01T14:00:00+00:00,2022,Emirates Stadium,1,12,4,1
868228,2023-04-01T14:00:00+00:00,2022,The American Express Community Stadium,5,4,3,3
868230,2023-04-01T14:00:00+00:00,2022,Selhurst Park,8,13,2,1
868234,2023-04-01T14:00:00+00:00,2022,The City Ground,19,24,1,1
868229,2023-04-01T16:30:00+00:00,2022,Stamford Bridge,7,2,0,2
868235,2023-04-02T13:00:00+00:00,2022,London Stadium,23,21,1,0
868233,2023-04-02T15:30:00+00:00,2022,St. James' Park,18,17,2,0
868231,2023-04-03T19:00:00+00:00,2022,Goodison Park,9,22,1,1
868006,2023-04-04T18:45:00+00:00,2022,Vitality Stadium,3,5,0,2
868011,2023-04-04T18:45:00+00:00,2022,King Power Stadium,13,2,1,2
868010,2023-04-04T18:45:00+00:00,2022,Elland Road,12,19,2,1
868019,2023-04-04T19:00:00+00:00,2022,Stamford Bridge,7,14,0,0
